future_lr_3,future_direction_3,future_rv_3
0.030625026541542866,1.0,0.020980031681324847
0.014912551986526523,1.0,0.02418776794789435
0.017205944129777606,1.0,0.025511593769688222
0.04227251914087127,1.0,0.022440996892838374
0.06320474159792511,1.0,0.012493949488637853
0.057988813235553494,1.0,0.00956660275982819
0.027923931734948226,1.0,0.021810947280454625
-0.002032678241969066,-1.0,0.026661732725763786
-0.028781809672997483,-1.0,0.011379930857140725
0.001572768605200281,1.0,0.017840798848516533
0.028700258986408045,1.0,0.006869123213768524
0.04219845414206347,1.0,0.00472105243121053
0.028432058278490047,1.0,0.0068535432289190115
0.031408720097404697,1.0,0.006881764889936903
-0.0030545999575437577,-1.0,0.015093593325140342
-0.0018957262028145294,-1.0,0.015265371926809821
-0.03714669607107268,-1.0,0.014708385211650405
-0.01017790392926976,-1.0,0.017726342703073595
-0.02568518564097033,-1.0,0.016607112472244844
-0.05250674269047728,-1.0,0.030340169070961605
-0.057674122858337284,-1.0,0.028130204521022457
-0.03443915438693779,-1.0,0.03400719760418708
0.05002773995027887,1.0,0.015505888223950888
0.04635789634415488,1.0,0.017065261598617792
0.035182279196581234,1.0,0.019277952496554184
-0.009006144192122534,-1.0,0.006238861771607919
-0.020912016928663846,-1.0,0.006767244571504377
-0.009224574480542813,-1.0,0.013499010764713527
-0.02753216540722825,-1.0,0.020601636114361718
-0.0069275315278289895,-1.0,0.02275406982398618
-0.06523280990822933,-1.0,0.02806803354237345
-0.018518416279496464,-1.0,0.034629270798355025
-0.030292486610363767,-1.0,0.03264525527263439
0.03895284832703183,1.0,0.01382039461477132
0.0018043092947479522,1.0,0.02137930486084127
0.008636374572018823,1.0,0.021217306991933294
-0.0011189486010341199,-1.0,0.016774184167674625
0.05290948987274824,1.0,0.01584444548041473
0.035305064353892135,1.0,0.024327803638699547
0.016527224905772187,1.0,0.025951985300047744
-0.001828067778532727,-1.0,0.015586613895066439
-0.0038810190319971127,-1.0,0.016453743260088166
-0.0022474821492508568,-1.0,0.016291064598733085
-0.010000299171975868,-1.0,0.012244440105852569
-0.00363545757185868,-1.0,0.00926931160593994
0.011818458366077422,1.0,0.01143233430692666
0.005987447859878259,1.0,0.010614171178919208
0.01623551306672688,1.0,0.005786358382841435
0.029705596160294334,1.0,0.013511059325787814
0.0344486498809502,1.0,0.012569883929503022
0.039434163823040436,1.0,0.010701930699558635
0.043286814919516914,1.0,0.01291972416253279
0.03283135162311801,1.0,0.016484552372294018
0.03123656926502605,1.0,0.01674316259957867
0.012343778192416721,1.0,0.006500801605577545
0.006624094946584336,1.0,0.009559349964199436
0.001821393084213696,1.0,0.009386094131857932
-0.019186532718483917,-1.0,0.005394279828618076
0.0014107108817782432,1.0,0.011470116345359964
0.0023903345869857873,1.0,0.011450711996892321
0.021156110856344057,1.0,0.005901537904500325
0.018344465216381778,1.0,0.004762119713477182
0.022159266375208375,1.0,0.0025990616591198804
0.0026631378035606446,1.0,0.010865491849041476
0.007538076353945655,1.0,0.01295995081779699
-0.00010816323589146748,-1.0,0.013129156529654708
0.008395495429075694,1.0,0.010026158498025824
0.012658525967601975,1.0,0.012487126503726787
0.031093531328739488,1.0,0.011538234243379629
0.033113160971726785,1.0,0.010386048842452675
0.007890759675435177,1.0,0.01132492722264008
-0.0037394037600169128,-1.0,0.005128855677437737
-0.005101239595903806,-1.0,0.005129414066146591
0.014919793876734033,1.0,0.00788179369463358
-0.0029704374005170564,-1.0,0.01387852400416209
-0.014446795182411876,-1.0,0.01580901274006096
-0.022529406367201688,-1.0,0.011143757749647005
-0.004291764556491273,-1.0,0.010591209506708943
0.017190532506038636,1.0,0.0019560881909271195
0.00478786898419159,1.0,0.00773169797244674
0.0031438987098741933,1.0,0.007532868071866593
-0.019267701860668396,-1.0,0.008472608186409807
-0.01932778794976997,-1.0,0.008474902378558413
-0.03785930131774862,-1.0,0.004840203232343697
-0.017115403907970617,-1.0,0.011248481656114378
0.0012288862337914708,1.0,0.014592237293339043
0.012388266584450136,1.0,0.008321906712163882
0.01658192830182692,1.0,0.00914956006960093
-0.000811025518430597,-1.0,0.009235065787747349
-0.004485465389500121,-1.0,0.010356701534948746
-0.023774307939650186,-1.0,0.0015335187184635896
-0.019913741429739673,-1.0,0.0037601805141985983
-0.031166157338384792,-1.0,0.008919238073939073
-0.058885100365062115,-1.0,0.017170621942749185
-0.04152690870343534,-1.0,0.0263835750739509
-0.02722691328360405,-1.0,0.02601683423791595
-0.005326324140421335,-1.0,0.015270886980054051
-0.026170796958728815,-1.0,0.00520545516539238
-0.00954851781909305,-1.0,0.013047595440361956
0.022678892487819624,1.0,0.012007587175067799
0.03851193707199663,1.0,0.004058597206091072
0.03142076516590109,1.0,0.006817567773645371
0.025220443164675643,1.0,0.003970880303704304
0.011028038074751834,1.0,0.007720324243046939
-0.014190541021608993,-1.0,0.016324680887959336
-0.017005955723764288,-1.0,0.014967460090819723
-0.011723908551759976,-1.0,0.015536443026031632
-0.010270505136203312,-1.0,0.014722396400827042
-0.011576921422701503,-1.0,0.01420456953550129
8.749217354164784e-06,1.0,0.01744742401931307
0.04392302312755092,1.0,0.00858989618588537
0.036337015141647555,1.0,0.012232471983879247
0.02259457139838439,1.0,0.014289000668834477
0.0057409701716029105,1.0,0.00456536742996956
-0.002449539977900983,-1.0,0.007891374372406787
-0.007166631817231206,-1.0,0.008404881419072334
-0.011955740024161443,-1.0,0.005700062880889873
0.0028024932822656723,1.0,0.006075467505659463
0.002363701121975481,1.0,0.006316801336398073
-0.01002044199910479,-1.0,0.00844096706615155
-0.026426972146058603,-1.0,0.0022854471049402413
-0.023232822030818667,-1.0,0.004128014125968155
-0.004072471656051846,-1.0,0.009808299517185669
-0.015482002977467602,-1.0,0.015527189173149733
-0.0070422019999831775,-1.0,0.01682980054678061
-0.01970131174045875,-1.0,0.013819390756870649
0.013052574344527557,1.0,0.00735755052953529
0.016324814135600718,1.0,0.007831459572969157
0.011729803591366661,1.0,0.010461765308953451
-0.006046860367936446,-1.0,0.009334394200210832
