future_lr_3,future_direction_3,future_rv_3,future_lr_6,future_direction_6,future_rv_6,future_lr_12,future_direction_12,future_rv_12
0.04809891293388446,1.0,0.01605262929846444,0.06545424688707513,1.0,0.011686635583711278,0.11392225615967888,1.0,0.010561271123149507
0.02349095499640974,1.0,0.006572880007302285,0.027364429372234156,1.0,0.006522517446401601,0.07580328623867238,1.0,0.00836937986899645
0.013577372440179758,1.0,0.0036736512746293093,0.03204740125873684,1.0,0.008007871918779608,0.05248720610884128,1.0,0.009067628528614405
0.017355333953190666,1.0,0.002234446253642669,0.047944028586833554,1.0,0.00887351043166328,0.06715655637488993,1.0,0.009549748629303514
0.003873474375824415,1.0,0.005575380780529433,0.04575633343728924,1.0,0.008901006444382102,0.04976951039399857,1.0,0.01037810433230696
0.018470028818557083,1.0,0.012034304194467061,0.055722097893614375,1.0,0.009066121619952851,0.03897004799626558,1.0,0.010829858790523492
0.030588694633642888,1.0,0.013313967558549581,0.04846800927260375,1.0,0.010198169571837296,0.032153585753246006,1.0,0.010919775440694234
0.04188285906146483,1.0,0.006825843643416035,0.04843885686643823,1.0,0.01020572962862906,0.028232598018245625,1.0,0.01122924319838349
0.03725206907505729,1.0,0.005591497051305311,0.020439804850104437,1.0,0.010701239840245529,-0.015661340792181733,-1.0,0.012460988304297845
0.017879314638960864,1.0,0.008323714879928213,0.019212527788056377,1.0,0.010398914904562526,-0.02548289221558342,-1.0,0.01143604319547395
0.006555997804973401,1.0,0.010478607946719868,0.00401317695670933,1.0,0.011343794545858045,-0.0358871533797096,-1.0,0.011141877385826076
-0.016812264224952855,-1.0,0.0033833639212354086,-0.016752049897348797,-1.0,0.009396413585423856,-0.0499960195129745,-1.0,0.009832274634456142
0.0013332131490955135,1.0,0.013350838639167688,-0.016314423519357746,-1.0,0.009401200343327339,-0.018841307977417898,-1.0,0.013682906789711494
-0.0025428208482640713,-1.0,0.01431795797260101,-0.020206258848192604,-1.0,0.009732327765475127,-0.018663873368405248,-1.0,0.013678761401484888
6.021432760405787e-05,1.0,0.01362207552241795,-0.03610114564228617,-1.0,0.013183696476411782,-0.022653292459892782,-1.0,0.013927265178932625
-0.01764763666845326,-1.0,0.003562134994587132,-0.044695420003639796,-1.0,0.010560062674520511,-0.04194072438833629,-1.0,0.01278062271458208
-0.017663437999928533,-1.0,0.003569150259865347,-0.03990033033641893,-1.0,0.010596675875922189,-0.037641043044081,-1.0,0.012670734151805354
-0.03616135996989023,-1.0,0.011816520357865528,-0.0332439696156257,-1.0,0.010947891517120382,-0.020544909803513534,-1.0,0.013198335797169006
-0.027047783335186537,-1.0,0.01608523983009996,-0.0025268844580601524,-1.0,0.017897972667974327,-0.0106242272743593,-1.0,0.013484710904970948
-0.0222368923364904,-1.0,0.01631692296636119,0.001542385479787356,1.0,0.017579452032136754,-4.357442826474767e-05,-1.0,0.013245461883915332
0.0029173903542645263,1.0,0.005722610802824878,0.013447853182393388,1.0,0.014560320495918174,0.017618299181110686,1.0,0.010996020308851618
0.024520898877126385,1.0,0.017902454438079703,0.002754695615303504,1.0,0.014502322197226122,-0.002929297913347284,-1.0,0.01162283051196137
0.023779277816277755,1.0,0.0181629714802202,0.0022592872923379304,1.0,0.014535854971455686,0.010027747700279477,1.0,0.011817257026914937
0.010530462828128861,1.0,0.022190744735542615,0.012699059812112168,1.0,0.015106146253717102,-0.02169605799355523,-1.0,0.01509645560622235
-0.02176620326182288,-1.0,0.005172444216334115,-0.008097342816299147,-1.0,0.008898749891071082,-0.051129746075726956,-1.0,0.01169881180331346
-0.021519990523939825,-1.0,0.00522801973728527,-0.0015859599080521036,-1.0,0.00876200492517909,-0.07805285898540859,-1.0,0.014171643663175772
0.0021685969839833064,1.0,0.008499014725980535,0.004170445998717298,1.0,0.0072505158515676635,-0.08992913291088378,-1.0,0.015066228148248824
0.013668860445523734,1.0,0.0081595475707829,-0.005683993528650788,-1.0,0.009257116668895825,-0.07084479889329032,-1.0,0.016457409181562712
0.01993403061588772,1.0,0.004625650910262625,0.0077684604079415465,1.0,0.009768710787520278,-0.05073790174442294,-1.0,0.017572078891989994
0.002001849014733992,1.0,0.007693463582703691,-0.0343951178056674,-1.0,0.015369662457315088,-0.05547206706613217,-1.0,0.017261395354588555
-0.019352853974174522,-1.0,0.007535770524151281,-0.04303240325942781,-1.0,0.014197468470844939,-0.040895829485988244,-1.0,0.01867736239836463
-0.012165570207946175,-1.0,0.011458938230095427,-0.07646689907735649,-1.0,0.01648067809785495,-0.05394154371805371,-1.0,0.0187439027449049
-0.03639696682040139,-1.0,0.02021149442197178,-0.09409957890960108,-1.0,0.016907417424944744,-0.06001504009259229,-1.0,0.018911242500941117
-0.023679549285253287,-1.0,0.021108586302719293,-0.06516080536463953,-1.0,0.02124169255359689,-0.05605850497423859,-1.0,0.01878448811190589
-0.06430132886941031,-1.0,0.017922420784716585,-0.05850636215236449,-1.0,0.02259818412210042,-0.06023308240042269,-1.0,0.01855137140503158
-0.05770261208919969,-1.0,0.016380471904799382,-0.021076949260464772,-1.0,0.02040391977416414,-0.012656766225132898,-1.0,0.017390407585636394
-0.04148125607938624,-1.0,0.02561333526874482,0.002136573773439565,1.0,0.02306262025734334,-0.025287130575984307,-1.0,0.01774812027005353
0.005794966717045824,1.0,0.02336715842112139,0.02252535535930278,1.0,0.018384704703557426,-0.000785136593176361,-1.0,0.01523952197346767
0.03662566282873492,1.0,0.0055672891191563744,0.03408453881700879,1.0,0.015069294603293978,0.0344593052308344,1.0,0.013253377286696195
0.04361782985282581,1.0,0.00837736953775492,0.009102300390400941,1.0,0.015269547106250109,0.03971875032319616,1.0,0.013784630908010444
