feature,horizon,bin,n,feature_min,feature_max,future_rv_mean,future_lr_mean,p_up
log_return,12,"(-0.00378, 0.00315]",456,-0.003770852909143585,0.0031442072494498596,0.017958266360470564,-0.00829616168800751,0.47240618101545256
log_return,12,"(-0.0127, -0.00378]",453,-0.012651117553558855,-0.003790808330362161,0.017742883311083854,-0.005992212282076902,0.497787610619469
log_return,12,"(-0.261, -0.0127]",458,-0.2598486745199211,-0.01268408684849831,0.022658830392561325,-0.01634275813553461,0.425764192139738
log_return,12,"(0.00315, 0.0113]",458,0.003147626142993687,0.011176769562171174,0.017555422513681224,-0.005843946439966435,0.5098468271334792
log_return,12,"(0.0113, 0.441]",455,0.011281767304083257,0.44144581198098587,0.022716095389953683,-0.010445214766015754,0.43736263736263736
rolling_corr_ref_12,3,"(-0.816, 0.115]",458,-0.8154991924596924,0.1145666567092921,0.021308681581308667,-0.002434658775790517,0.47921225382932164
rolling_corr_ref_12,3,"(0.115, 0.35]",457,0.11562595326442274,0.35029532874540753,0.01743446374719078,-0.0026294953902214276,0.45274725274725275
rolling_corr_ref_12,3,"(0.35, 0.526]",457,0.3503954469337608,0.5258775822668962,0.015519447413800612,-0.0019439248498820476,0.5032822757111597
rolling_corr_ref_12,3,"(0.526, 0.711]",457,0.5259884502170695,0.71055761736251,0.01465646504684406,-0.0012040849638117104,0.4967032967032967
rolling_corr_ref_12,3,"(0.711, 0.97]",455,0.7107166293585934,0.9700570221245051,0.015372730041859215,-0.004258086609758252,0.4669603524229075
rolling_corr_ref_12,12,"(-0.816, 0.115]",458,-0.8154991924596924,0.1145666567092921,0.026032932352252514,-0.01715411868858308,0.47368421052631576
rolling_corr_ref_12,12,"(0.115, 0.35]",457,0.11562595326442274,0.35029532874540753,0.02020693530135317,0.003941807111106384,0.5295404814004376
rolling_corr_ref_12,12,"(0.35, 0.526]",457,0.3503954469337608,0.5258775822668962,0.016980903815897095,-0.010663989805514584,0.46813186813186813
rolling_corr_ref_12,12,"(0.526, 0.711]",456,0.5259884502170695,0.71055761736251,0.01681979950415401,-0.01287042117349475,0.4065934065934066
rolling_corr_ref_12,12,"(0.711, 0.97]",447,0.7107166293585934,0.9700570221245051,0.017377758800375932,-0.011689749149089669,0.4608501118568233
relative_strength_42,3,"(-0.0389, 0.00479]",447,-0.038853704272398204,0.004791498325205978,0.01391881734033469,-0.00022414963490616552,0.5212527964205816
relative_strength_42,3,"(-0.108, -0.0389]",450,-0.10748495127026203,-0.03888733016782275,0.015973206664826413,-0.0029067930987503746,0.48214285714285715
relative_strength_42,3,"(-0.655, -0.108]",451,-0.6538089307300439,-0.10754599395805364,0.016445820048244075,-0.0036314155418541885,0.5011135857461024
relative_strength_42,3,"(0.00479, 0.0623]",450,0.004799811884947047,0.062261722100940275,0.01610509783607436,-0.0004594043072512556,0.49330357142857145
relative_strength_42,3,"(0.0623, 0.777]",450,0.062351130479973094,0.7769998438176859,0.02102605219912316,-0.0035606426456814117,0.4177777777777778
relative_strength_42,12,"(-0.0389, 0.00479]",443,-0.038853704272398204,0.004791498325205978,0.015960085714748756,0.004254563331789989,0.600451467268623
relative_strength_42,12,"(-0.108, -0.0389]",450,-0.10748495127026203,-0.03888733016782275,0.01966956503947719,-0.01689063576095901,0.43847874720357943
relative_strength_42,12,"(-0.655, -0.108]",451,-0.6538089307300439,-0.10754599395805364,0.0195363233910965,-0.0063314591708349185,0.4777777777777778
relative_strength_42,12,"(0.00479, 0.0623]",445,0.004799811884947047,0.062261722100940275,0.016399428696985643,-0.0026415294984713338,0.4752252252252252
relative_strength_42,12,"(0.0623, 0.777]",450,0.062351130479973094,0.7769998438176859,0.02506497800703553,-0.02084803558540667,0.37777777777777777
reference_close,3,"(105406.2, 112506.44]",458,105415.8,112486.6,0.015298837901190881,-0.001670021410129866,0.5032822757111597
reference_close,3,"(112506.44, 125329.4]",459,112511.4,125329.4,0.01618920725628772,-0.0038473369877245985,0.48253275109170307
reference_close,3,"(62872.699, 76068.94]",459,62872.7,76056.0,0.022459565177471948,-0.004396182097302562,0.47702407002188185
reference_close,3,"(76068.94, 90657.3]",455,76120.7,90643.7,0.011933985933707338,0.0003787043321074244,0.5011037527593819
reference_close,3,"(90657.3, 105406.2]",458,90677.7,105391.8,0.020333520442089543,-0.0009600961081670154,0.4366812227074236
reference_close,12,"(105406.2, 112506.44]",458,105415.8,112486.6,0.0177925498122394,-0.005606738102499836,0.5131004366812227
reference_close,12,"(112506.44, 125329.4]",459,112511.4,125329.4,0.019151609949615036,-0.015810672360595586,0.4466230936819172
reference_close,12,"(62872.699, 76068.94]",459,62872.7,76056.0,0.02681707627254423,-0.01739188760551404,0.43326039387308535
reference_close,12,"(76068.94, 90657.3]",446,76120.7,90643.7,0.01393518099250847,-0.0003043274633489933,0.5237020316027088
reference_close,12,"(90657.3, 105406.2]",458,90677.7,105391.8,0.02077891118154596,-0.0075720833702751416,0.4279475982532751
price_ratio,3,"(-0.000999808, 3.85e-07]",456,1.9227718374210743e-07,3.8485396046279564e-07,0.017244599705166227,0.00022299283537010041,0.5121412803532008
price_ratio,3,"(3.85e-07, 4.38e-07]",458,3.852879933462887e-07,4.383719441955715e-07,0.015181367403725037,-0.0030483600967666515,0.4519650655021834
price_ratio,3,"(4.38e-07, 6.02e-07]",458,4.383833764452003e-07,6.021304859451399e-07,0.016228535111924593,-0.003946941424164016,0.4923413566739606
price_ratio,3,"(6.02e-07, 6.68e-07]",458,6.02233505747076e-07,6.678110869201139e-07,0.013117206787071739,0.000683046959731136,0.5
price_ratio,3,"(6.68e-07, 1.24e-06]",459,6.679563766236527e-07,1.2406210377540448e-06,0.024471496169831748,-0.004415535416553247,0.4444444444444444
price_ratio,12,"(-0.000999808, 3.85e-07]",447,1.9243334752348802e-07,3.8485396046279564e-07,0.021110185502483694,-0.006355405560121719,0.46396396396396394
price_ratio,12,"(3.85e-07, 4.38e-07]",458,3.852879933462887e-07,4.383719441955715e-07,0.01729811831318866,0.001292833365764579,0.5087336244541485
price_ratio,12,"(4.38e-07, 6.02e-07]",458,4.383833764452003e-07,6.021304859451399e-07,0.019147765998268583,-0.01661807568519958,0.4551422319474836
price_ratio,12,"(6.02e-07, 6.68e-07]",458,6.02233505747076e-07,6.678110869201139e-07,0.01424480112780064,0.0023192627247138014,0.5164113785557987
price_ratio,12,"(6.68e-07, 1.24e-06]",459,6.679563766236527e-07,1.2406210377540448e-06,0.02685808275161929,-0.027481482282945943,0.39869281045751637
rolling_corr_ref_42,3,"(-0.213, 0.181]",455,-0.212400359083875,0.18034503061687682,0.02113073382536292,-0.007907600293276315,0.4326710816777042
rolling_corr_ref_42,3,"(0.181, 0.375]",454,0.18121923896235806,0.37430859806210554,0.017787751805118428,0.0035373840641495253,0.5253863134657837
rolling_corr_ref_42,3,"(0.375, 0.515]",454,0.3755171809516278,0.5142004434948132,0.015053230354715449,-0.002279649118022394,0.47019867549668876
rolling_corr_ref_42,3,"(0.515, 0.632]",451,0.5150736438472389,0.6320248331310475,0.013867919690159877,-0.005088707177523163,0.44
rolling_corr_ref_42,3,"(0.632, 0.847]",455,0.6321236683333957,0.8465037082592171,0.015851933330545718,0.0003362147749137671,0.539647577092511
rolling_corr_ref_42,12,"(-0.213, 0.181]",455,-0.212400359083875,0.18034503061687682,0.024444583488915705,-0.02999563028725133,0.37748344370860926
rolling_corr_ref_42,12,"(0.181, 0.375]",454,0.18121923896235806,0.37430859806210554,0.021880525938458024,0.014955696445624802,0.5837004405286343
rolling_corr_ref_42,12,"(0.375, 0.515]",454,0.3755171809516278,0.5142004434948132,0.01704348396743704,-0.01677062436262975,0.4052863436123348
rolling_corr_ref_42,12,"(0.515, 0.632]",445,0.5150736438472389,0.6320248331310475,0.015732822701026012,-0.01451064844481853,0.4411764705882353
rolling_corr_ref_42,12,"(0.632, 0.847]",452,0.6321236683333957,0.8465037082592171,0.0179590006954459,0.0007670028628622084,0.5420353982300885
rolling_beta_ref_42,3,"(-0.658, 0.43]",455,-0.6565812009184849,0.430379513641666,0.019097691585773145,-0.003809587849873669,0.47123893805309736
rolling_beta_ref_42,3,"(0.43, 0.814]",454,0.4307930055295722,0.8133810814236113,0.01821034518729721,0.0008449001415082594,0.5055187637969095
rolling_beta_ref_42,3,"(0.814, 1.082]",454,0.8144309069332898,1.0807853441378379,0.014615256614695865,-0.0012610825686301902,0.473568281938326
rolling_beta_ref_42,3,"(1.082, 1.506]",451,1.0821896597040273,1.5059591050253993,0.014665069321516684,-0.0027135536803705885,0.48329621380846327
rolling_beta_ref_42,3,"(1.506, 3.443]",455,1.5064877235814138,3.4425265747112563,0.017110180402482307,-0.004445832261369621,0.4747252747252747
rolling_beta_ref_42,12,"(-0.658, 0.43]",455,-0.6565812009184849,0.430379513641666,0.021744548694927136,-0.021379251431116582,0.47019867549668876
rolling_beta_ref_42,12,"(0.43, 0.814]",454,0.4307930055295722,0.8133810814236113,0.02254959876642511,0.0011861128683271294,0.4889867841409692
rolling_beta_ref_42,12,"(0.814, 1.082]",454,0.8144309069332898,1.0807853441378379,0.01684270787747835,-0.0010252554427599898,0.5077262693156733
rolling_beta_ref_42,12,"(1.082, 1.506]",444,1.0821896597040273,1.5059591050253993,0.016845818858540716,-0.007905534021166033,0.4751131221719457
rolling_beta_ref_42,12,"(1.506, 3.443]",453,1.5064877235814138,3.4425265747112563,0.019105827715927226,-0.016375176784993048,0.4083885209713024
