,portfolio_log_return,equity,drawdown,n_active
2026-03-29 20:00:00+00:00,-0.0004506712239335485,1.3710667396334186,-0.022484958878812855,5
2026-03-30 00:00:00+00:00,0.006992690486298131,1.3806877842694834,-0.015625543818123533,5
2026-03-30 04:00:00+00:00,0.009258813565938108,1.3935306782905308,-0.006469080668520921,5
2026-03-30 08:00:00+00:00,0.0021153141164455586,1.3964815533195003,-0.004365226317814552,5
2026-03-30 12:00:00+00:00,-0.0058125829470054135,1.388387933662322,-0.010135649247132505,5
2026-03-30 16:00:00+00:00,-0.009064705713885034,1.375859474810579,-0.019067932859322623,5
2026-03-30 20:00:00+00:00,0.0013771629044484865,1.3777555627523375,-0.017716098970585126,5
2026-03-31 00:00:00+00:00,0.005883573592493233,1.3858855823298244,-0.011919724372709606,5
2026-03-31 04:00:00+00:00,2.604001803352491e-05,1.3859216712852571,-0.011893994409510777,5
2026-03-31 08:00:00+00:00,0.0008253114917122276,1.3870659604997493,-0.011078162556673377,5
2026-03-31 12:00:00+00:00,-0.003331311494171048,1.3824528997596683,-0.014367087981441817,5
2026-03-31 16:00:00+00:00,0.0020633842706701735,1.385308376287539,-0.012331248897264002,5
2026-03-31 20:00:00+00:00,0.003571406797458599,1.3902647213332233,-0.008797575669629354,5
2026-04-01 00:00:00+00:00,0.004534002089480326,1.3965824960636304,-0.004293258230611441,5
2026-04-01 04:00:00+00:00,0.007000756125202362,1.406393933194603,0.0,5
2026-04-01 08:00:00+00:00,-0.001341369648456475,1.4045087037363002,-0.0013404704143030743,5
2026-04-01 12:00:00+00:00,-0.0007605136964741045,1.4034409616979775,-0.002099675934976397,5
2026-04-01 16:00:00+00:00,-0.006500308686148667,1.3943477485889404,-0.008565299039864138,5
2026-04-01 20:00:00+00:00,0.003924314777130594,1.399830358771137,-0.00466695302684994,5
2026-04-02 00:00:00+00:00,-0.00934364911940756,1.3868117504405546,-0.01392368261257193,5
2026-04-02 04:00:00+00:00,0.0015789058170819538,1.3890031251123833,-0.01236553121550843,5
2026-04-02 08:00:00+00:00,0.0007062095012959086,1.3899843987682743,-0.011667808029471982,5
2026-04-02 12:00:00+00:00,0.0030645658470924756,1.3942506312209837,-0.008634353211433354,5
2026-04-02 16:00:00+00:00,0.003145584029837888,1.3986432688235046,-0.005511019486192481,5
2026-04-02 20:00:00+00:00,-0.002312416654769152,1.3954127594160088,-0.00780803551509246,5
2026-04-03 00:00:00+00:00,0.004244858507251212,1.4013486787946916,-0.0035873692859660355,5
